College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
Pasadena City College,UCM,Calc2,A,1,MATH 022,MATH 005B (5.00),MATH 005BH (5.00),,
Pasadena City College,UCM,DataStructures,A,1,CSE 030,CS 008 (4.00),,,
Pasadena City College,UCM,LinearAlgebra,A,1,MATH 024,MATH 010 (4.00); MATH 055 (4.00),MATH 010 (4.00); MATH 055H (4.00),MATH 010H (4.00); MATH 055 (4.00),MATH 010H (4.00); MATH 055H (4.00)
Pasadena City College,UCM,VectorCalc,A,1,MATH 023,MATH 005C (5.00),MATH 005CH (5.00),,
Pasadena City College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 005A (5.00); MATH 005B (5.00),,,
Pasadena City College,UCR,Intro1,A,1,CS 10A,CS 002 (4.00),CS 003B (4.00),CS 003C (4.00),CIS 016 (3.00)
Pasadena City College,UCR,Intro2,A,1,CS 10B,CIS 014 (3.00),CS 003A (4.00),,
Pasadena City College,UCSB,Calc1,A,1,MATH 3A,MATH 005A (5.00),MATH 005AH (5.00),,
Pasadena City College,UCSB,Calc2,A,1,MATH 3B,MATH 005B (5.00),MATH 005BH (5.00),,
Pasadena City College,UCSB,DataStructures,A,1,CMPSC 24,CS 003A (4.00); CS 008 (4.00),,,
Pasadena City College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 055 (4.00),MATH 055H (4.00),,
Pasadena City College,UCSB,DiscreteMath,A,1,CMPSC 40,CS 045 (5.00),MATH 022 (4.00),,
Pasadena City College,UCSB,Intro,A,1,CMPSC 16,CS 002 (4.00),,,
Pasadena City College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 010 (4.00),MATH 010H (4.00),,
Pasadena City College,UCSC,Calc1,A,1,MATH 19A,MATH 005A (5.00),MATH 005AH (5.00),,
Pasadena City College,UCSC,Calc2,A,1,MATH 19B,MATH 005B (5.00),MATH 005BH (5.00),,
Pasadena City College,UCSC,DataStructures,A,1,CSE 12,CS 066 (4.00),,,
Pasadena City College,UCSC,DiscreteMath,A,1,CSE 16,CS 045 (5.00),MATH 022 (4.00),,
Pasadena City College,UCSC,Intro,A,1,CSE 30,CS 008 (4.00),CS 034 (3.00),,
Pasadena City College,UCSD,Calc1,A,1,MATH 20A,MATH 005A (5.00),MATH 005AH (5.00),,
Pasadena City College,UCSD,Calc2,A,1,MATH 20B,MATH 005B (5.00),MATH 005BH (5.00),,
Pasadena City College,UCSD,Calc3,A,1,MATH 20C,MATH 005C (5.00),MATH 005CH (5.00),,
Pasadena City College,UCSD,DataStructures,A,1,CSE 12,CS 008 (4.00),,,
Pasadena City College,UCSD,DiscreteMath,A,1,CSE 20,MATH 022 (4.00),,,
Pasadena City College,UCSD,Intro,A,1,CSE 8B,CS 003B (4.00),,,
Pasadena City College,UCSD,Intro,B,1,CSE 11,CS 003B (4.00),,,
Pasadena City College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 010 (4.00),MATH 010H (4.00),,
